timestamp,peer_ip,peer_asn,prefix,as_path,origin_asn,next_hop,event_type,local_pref,med,prefix_length,as_path_length,unique_as_count,is_prepended,origin_position,is_origin_at_end,label
1781151671.0,165.254.255.2,15562,46.172.215.0/24,15562 2914 6453 20485 6789 48330 48330,48330,165.254.255.2,A,0.0,0.0,24,7,6,1,5,0,0
1781152172.0,2a14:4280:1:1::1,216285,2401:d800:5df0::/44,216285 8280 6762 6453 7552,7552,2a14:4280:1:1::1,A,0.0,0.0,44,5,5,0,4,1,0
1781151584.0,165.16.221.66,37721,2c0f:ee00::/48,37721,37721,::ffff:165.16.221.66,A,0.0,0.0,48,1,1,0,0,1,0
1781151308.0,165.16.221.66,37721,2c0f:ee00::/48,37721,37721,::ffff:165.16.221.66,A,0.0,0.0,48,1,1,0,0,1,0
1781151391.0,2a09:4c0:500:c1a3::56e7,34800,2a02:ac80:b0::/48,34800 58057 6939 9002 25145,25145,2a09:4c0:500:c1a3::56e7,A,0.0,0.0,48,5,5,0,4,1,0
1780281390.158667,12.0.1.63,7018,182.52.135.0/24,7018 1299 38040 23969,23969,12.0.1.63,A,0.0,0.0,24,4,4,0,3,1,0
1781151784.0,193.0.0.56,3333,2a02:ac80:1000::/48,3333 2914 9121 25145,25145,::ffff:193.0.0.56,A,0.0,0.0,48,4,4,0,3,1,0
1780281012.01216,45.61.0.85,22652,95.83.172.0/23,22652 1299 20485 15774,15774,45.61.0.85,A,0.0,0.0,23,4,4,0,3,1,0
1780281043.731909,105.16.0.247,37100,154.196.104.0/24,37100 3257 17476 18013 9294,9294,105.16.0.247,A,0.0,0.0,24,5,5,0,4,1,0
1781151747.0,2a00:5884::6,204092,2a05:79c0:1::/48,204092 20766 29608 174 3356 27381,27381,2a00:5884::6,A,0.0,150.0,48,6,6,0,5,1,0
1781152006.0,2001:1890:111d:1::63,7018,2a02:ac87:59cb::/48,7018 6762 25145,25145,2001:1890:111d:1::63,A,0.0,0.0,48,3,3,0,2,1,0
1781151566.0,2a14:4280:1:1::1,216285,2800:540:2010::/44,216285 8280 6762 6453 27978 27978 27978 27978 6535,6535,2a14:4280:1:1::1,A,0.0,0.0,44,9,6,1,8,1,0
1781152113.0,198.58.198.252,1403,2a0f:1cc6:b212::/48,1403 6939 215172 198135,198135,::ffff:198.58.198.252,A,0.0,0.0,48,4,4,0,3,1,0
1780281647.835761,208.51.134.255,3549,208.64.158.0/24,3549 3356 62887,62887,208.51.134.255,A,0.0,0.0,24,3,3,0,2,1,0
1781151622.0,2a00:1ca8:2a::e0,202365,2a0b:b81:3564::/48,202365 61049 207841 206445,206445,2a00:1ca8:2a::e0,A,0.0,0.0,48,4,4,0,3,1,0
1780281338.177083,45.61.0.85,22652,86.110.162.0/23,22652 1299 20485 21438,21438,45.61.0.85,A,0.0,0.0,23,4,4,0,3,1,0
1780273025.831971,12.0.1.63,7018,125.24.221.0/24,99999,99999,12.0.1.63,A,0.0,0.0,24,1,1,0,3,1,1
1780272552.234493,45.61.0.85,22652,182.52.87.0/24,22652 174 4651 23969,23969,45.61.0.85,A,0.0,0.0,24,4,4,0,3,1,0
1781152191.0,198.58.198.252,1403,2a02:ac80:10::/48,1403 6939 25145,25145,::ffff:198.58.198.252,A,0.0,0.0,48,3,3,0,2,1,0
1781151686.0,2001:67c:26f4::1,57821,2804:bd0:2000::/36,57821 6939 3356 28201 10670,10670,2001:67c:26f4::1,A,0.0,0.0,36,5,5,0,4,1,0
1781151590.0,2a02:2b8::195:90:96:2,48185,2a0b:6900:9::/48,48185 1299 9002 9002 9049 206873,206873,2a02:2b8::195:90:96:2,A,0.0,0.0,48,6,5,1,5,1,0
1780272585.92912,203.181.248.195,7660,198.97.62.0/24,7660 23855 134148 141682 24490 24490 24490 11537 16905 16905 16905 16905 14382,14382,203.181.248.195,A,0.0,0.0,24,13,8,1,12,1,0
1781151594.0,2a09:4c0:f00:b966::54e8,61218,2a02:ac80:50::/48,61218 6939 9002 25145,25145,2a09:4c0:f00:b966::54e8,A,0.0,0.0,48,4,4,0,3,1,0
